Date,Volume,Close
2020-11-16,273012,8827
2020-11-17,465255,8715
2020-11-18,191812,8688
2020-11-19,185440,8870
2020-11-20,243391,8805
2020-11-21,306617,8855
2020-11-22,234923,8828
2020-11-23,489567,8780
2020-11-24,314046,8723
2020-11-25,227293,8575
2020-11-26,382810,8858
2020-11-27,281396,8958
2020-11-28,234776,9008
2020-11-29,375978,8863
2020-11-30,403535,8465
2020-12-01,465781,8330
2020-12-02,288024,8238
2020-12-03,405082,9030
2020-12-04,313405,9463
2020-12-05,241724,10198
2020-12-06,301682,10228
2020-12-07,640405,10430
2020-12-08,409710,10483
2020-12-09,179839,9930
2020-12-10,190951,10345
2020-12-11,219883,10380
2020-12-12,332635,10238
2020-12-13,259967,9943
2020-12-14,165325,9720
2020-12-15,345836,9710
2020-12-16,427282,9358
2020-12-17,333732,9178
2020-12-18,349829,8620
2020-12-19,377801,9083
2020-12-20,544165,10023
2020-12-21,272228,11105
2020-12-22,99758,11345
2020-12-23,123533,11045
2020-12-24,427699,11320
2020-12-25,362363,11585
2020-12-26,264758,11518
2020-12-27,159093,11330
2020-12-28,190923,11125
2020-12-29,294416,10843
2020-12-30,200797,10643
2020-12-31,388486,10865
2021-01-01,467204,10643
2021-01-02,268118,10658
2021-01-03,173634,10975
2021-01-04,501932,11470
2021-01-05,321973,11845
2021-01-06,363227,12165
2021-01-07,409538,11880
2021-01-08,504505,11507
2021-01-09,273863,11185
2021-01-10,259087,10638
2021-01-11,256532,10145
2021-01-12,412761,9963
2021-01-13,256883,10203
2021-01-14,478641,10210
2021-01-15,370067,10115
2021-01-16,280493,10240
2021-01-17,313393,10195
2021-01-18,342190,10270
2021-01-19,271905,10105
2021-01-20,209234,9973
2021-01-21,160747,10160
2021-01-22,566580,10525
2021-01-23,307822,10865
2021-01-24,310872,10905
2021-01-25,155853,10493
2021-01-26,187073,10193
2021-01-27,286022,10173
2021-01-28,419718,10083
2021-01-29,525591,9885
2021-01-30,264712,9753
2021-01-31,327371,10128
2021-02-01,193759,10540
2021-02-02,218207,10905
2021-02-03,399830,11203
2021-02-04,538436,10998
2021-02-05,358463,11723
2021-02-06,350785,11803
2021-02-07,280542,12220
2021-02-08,188887,12935
2021-02-09,235629,13305
2021-02-10,195856,13470
2021-02-11,253611,13930
2021-02-12,427252,14580
